,congress,chamber,result,description,vote_result_category,democratic_yes,democratic_no,democratic_present,democratic_not_voting,democratic_majority_position,republican_yes,republican_no,republican_present,republican_not_voting,republican_majority_position,independent_yes,independent_no,independent_present,independent_not_voting,total_yes,total_no,total_present,total_not_voting,pass
3881,112,Senate,Amendment Rejected,Of a perfecting nature.,not pass,3,48,0,0,No,38,7,0,2,Yes,0,2,0,0,41,57,0,2,not pass
3882,112,Senate,Amendment Agreed to,To remove privatized highways from consideration in apportioning highway funding among States.,pass,42,8,0,1,Yes,6,39,0,2,No,2,0,0,0,50,47,0,3,pass
3883,112,Senate,Amendment Rejected,To return to the individual States maximum discretionary authority and fiscal responsibility for all elements of the national surface transportation systems that are not within the direct purview of the Federal Government.,not pass,0,50,0,1,No,30,15,0,2,Yes,0,2,0,0,30,67,0,3,not pass
3884,112,Senate,Motion Agreed to,"A bill to reauthorize Federal-aid highway and highway safety construction programs, and for other purposes.",pass,50,1,0,0,Yes,14,30,0,3,No,2,0,0,0,66,31,0,3,pass
3885,112,Senate,Amendment Rejected,To approve the Keystone XL pipeline project and provide for environmental protection and government oversight.,not pass,11,40,0,0,No,45,0,0,2,Yes,0,2,0,0,56,42,0,2,not pass
3886,112,Senate,Amendment Rejected,"To ensure the expeditious processing of Keystone XL permit applications consistent with current law, prohibit the export of crude oil produced in Canada and transported by the Keystone XL pipeline and related facilities unless the prohibition is waived by the President, and require the use of United States iron, steel, and manufactured goods in the construction of the Keystone XL pipeline and related facilities with certain exceptions.",not pass,33,18,0,0,Yes,0,45,0,2,No,1,1,0,0,34,64,0,2,not pass
3887,112,Senate,Amendment Agreed to,"To provide for the restoration of the natural resources, ecosystems, fisheries, marine and wildlife habitats, beaches, and coastal wetlands of Gulf Coast States and to provide funding for the Land and Water Conservation Fund.",pass,51,0,0,0,Yes,23,22,0,2,None,2,0,0,0,76,22,0,2,pass
3888,112,Senate,Amendment Rejected,To prevent the creation of duplicative and overlapping Federal programs.,not pass,7,44,0,0,No,45,0,0,2,Yes,0,2,0,0,52,46,0,2,not pass
3889,112,Senate,Amendment Rejected,"To provide additional time for the Administrator of the Environmental Protection Agency to issue achievable standards for industrial, commercial, and institutional boilers, process heaters, and incinerators.",not pass,8,43,0,0,No,44,1,0,2,Yes,0,2,0,0,52,46,0,2,not pass
3890,112,Senate,Amendment Agreed to,"To reauthorize for 1 year the Secure Rural Schools and Community Self-Determination Act of 2000 and to provide full funding for the Payments in Lieu of Taxes program for 1 year, and for other purposes.",pass,45,6,0,0,Yes,36,9,0,2,Yes,1,1,0,0,82,16,0,2,pass
3891,112,Senate,Amendment Rejected,To provide for an extension of the Draft Proposed Outer Continental Shelf Oil and Gas Leasing Program 2010-2015.,not pass,3,48,0,0,No,43,2,0,2,Yes,0,2,0,0,46,52,0,2,not pass
3892,112,Senate,Nomination Confirmed,"Thomas Owen Rice, of Washington, to be United States District Judge for the Eastern District of Washington",pass,50,0,0,1,Yes,41,4,0,2,Yes,2,0,0,0,93,4,0,3,pass
3893,112,Senate,Nomination Confirmed,"Mary Elizabeth Phillips, of Missouri, to be United States District Judge for the Western District of Missouri",pass,50,0,0,1,Yes,43,2,0,2,Yes,2,0,0,0,95,2,0,3,pass
3894,112,Senate,Cloture Motion Rejected,Of a perfecting nature.,not pass,48,1,0,2,Yes,2,43,0,2,No,2,0,0,0,52,44,0,4,not pass
3895,112,Senate,Motion to Table Agreed to,To amend the Patient Protection and Affordable Care Act to protect rights of conscience with regard to requirements for coverage of specific items and services.,pass,48,3,0,0,Yes,1,45,0,1,No,2,0,0,0,51,48,0,1,pass
3896,112,Senate,Bill Passed,A bill to reauthorize the Violence Against Women Act of 1994.,pass,51,0,0,0,Yes,15,31,0,1,No,2,0,0,0,68,31,0,1,pass
3897,112,Senate,Amendment Rejected,In the nature of a substitute.,not pass,0,51,0,0,No,37,9,0,1,Yes,0,2,0,0,37,62,0,1,not pass
3898,112,Senate,Amendment Rejected,To amend title 18 of the United States Code and other provisions of law to strengthen provisions of the Violence Against Women Act and improve justice for crime victims.,not pass,3,47,0,1,No,46,0,0,1,Yes,1,1,0,0,50,48,0,2,not pass
3899,112,Senate,Amendment Rejected,To provide Debbie Smith grants for auditing sexual assault evidence backlogs.,not pass,50,0,0,1,Yes,5,41,0,1,No,2,0,0,0,57,41,0,2,not pass
3900,112,Senate,Nomination Confirmed,"Gregg Jeffrey Costa, of Texas, to be United States District Judge for the Southern District of Texas",pass,51,0,0,0,Yes,44,2,0,1,Yes,2,0,0,0,97,2,0,1,pass
3901,112,Senate,Bill Passed,"A bill to improve, sustain, and transform the United States Postal Service.",pass,47,4,0,0,Yes,13,33,0,1,No,2,0,0,0,62,37,0,1,pass
3902,112,Senate,Amendment Rejected,To provide protections for postal workers with respect to their right not to subsidize union nonrepresentational activities.,not pass,0,51,0,0,No,46,0,0,1,Yes,0,2,0,0,46,53,0,1,not pass
3903,112,Senate,Amendment Rejected,To maintain current delivery time for market-dominant products.,not pass,41,9,0,1,Yes,2,44,0,1,No,1,1,0,0,44,54,0,2,not pass
