"","bill","introduced","title","area","sponsor.party","cosponsors.r","cosponsors.d","cosponsors.i","status"
"7546","SRES605","2018-08-01","A resolution designating the first week in August 2017 as ""World Breastfeeding Week"", and designating August 2017 as ""National Breastfeeding Month"".","health","D",0,11,1,"Introduced"
"7559","SRES459","2018-04-11","Recognizing ""Black Maternal Health Week"" to bring national attention to the maternal health care crisis in the Black community and the importance of reducing the rate of maternal mortality and morbidity among Black women.","health","D",0,14,0,"Introduced"
"7574","SRES440","2018-03-20","Expressing support for designation of April 2018 as ""Second Chance Month"".","crime and law enforcement","R",2,3,0,"Passed senate"
"7580","SRES594","2018-07-26","A resolution expressing the sense of the Senate regarding the Government of the Russian Federation's ongoing attacks against the United States election system to undermine our democracy by interfering with our election system, and affirming the Senate's unequivocal commitment to holding the Russian Federation, President Putin, and those who carried out the attacks accountable.","international affairs","D",1,0,0,"Introduced"
"7582","SRES452","2018-04-09","A resolution designating April 11, 2018, as the ""Sesquicentennial of Connecticut's Navy Installation"".","armed forces and national security","D",0,1,0,"Introduced"
"7584","SRES511","2018-05-16","Honoring Las Damas de Blanco as the recipient of the 2018 Milton Friedman Prize for Advancing Liberty.","international affairs","R",1,2,0,"Introduced"
"7588","SRES441","2018-03-22","Honoring the accomplishments and legacy of César Estrada Chávez.","civil rights and liberties, minority issues","D",0,14,1,"Introduced"
"7604","SRES76","2017-03-01","Expressing support for designation of March 21, 2017, as ""National Rosie the Riveter Day"".","labor and employment","D",2,4,0,"Passed senate"
"7611","SRES455","2018-04-10","A resolution relative to the death of the Honorable Daniel K. Akaka, Senator from the State of Hawaii.","congress","D",51,46,2,"Passed senate"
"7711","SRES323","2017-11-07","STOP Sexual Harassment Resolution","congress","R",4,8,0,"Introduced"
"7724","SRES486","2018-04-26","Supporting the goals and ideals of Workers' Memorial Day, honoring workers who have been killed or injured in the workplace, and recognizing the importance of strengthening worker health and safety protections.","labor and employment","D",0,3,0,"Introduced"
"7728","SRES430","2018-03-12","Expressing support for the designation of March 9, 2018, as a national day of remembrance in honor of the life, legacy, and many accomplishments of Billy Frank, Jr.","native americans","D",0,1,0,"Introduced"
"7730","SRES466","2018-04-16","A resolution notifying the President of the United States of the election of a Sergeant at Arms and Doorkeeper of the Senate.","congress","R",0,0,0,"Passed senate"
"7731","SRES457","2018-04-11","A resolution to authorize testimony and representation in Kuwait & Gulf Link Transport Co., et al. v. John Doe, et al. (Ct. of Common Pleas, Cumberland County, Pa.).","congress","R",0,1,0,"Passed senate"
"7733","SRES347","2017-12-02","A resolution commemorating the 62nd anniversary of the dedication of Whiteman Air Force Base.","armed forces and national security","D",1,0,0,"Passed senate"
"7735","SRES447","2018-03-22","A resolution designating March 22, 2017, as ""National Rehabilitation Counselors Appreciation Day"".","health","D",1,0,0,"Passed senate"
